year,cpi,smig_monthly,SMIG_Index,CPI_Index,Inflation_Rate,Nominal_Wage_Growth,Real_Wage_Index,Real_Wage_Growth,Purchasing_Power_Gap,PPPR,Cumulative_Inflation,Cumulative_Wage_Growth
2000,83.64975329,1826,100.0,100.0,,,100.0,,,1.0,0.0,0.0
2001,84.16821603,1826,100.0,100.61980187580777,0.6198018758077684,0.0,99.3840160045507,-0.6198018758077684,-0.6198018758077684,0.993840160045507,0.6198018758077684,0.0
2002,86.52123923,1826,100.0,103.4327488451102,2.795619666171034,0.0,96.68117797947077,-2.795619666171034,-2.795619666171034,0.9668117797947078,3.4327488451102006,0.0
2003,87.53157688,1826,100.0,104.64056788851768,1.167733679026739,0.0,95.56523059635755,-1.167733679026739,-1.167733679026739,0.9556523059635755,4.640567888517677,0.0
2004,88.83881199,1845,101.04052573932091,106.2033162034685,1.4934440308234542,1.0405257393209189,95.13876717911847,-0.4529182915025354,-0.4529182915025354,0.9513876717911848,6.203316203468501,1.0405257393209189
2005,89.71177917,1845,101.04052573932091,107.2469142365357,0.9826416635313251,0.0,94.21299107634327,-0.9826416635313251,-0.9826416635313251,0.9421299107634328,7.246914236535695,1.0405257393209189
2006,92.6585973,1845,101.04052573932091,110.7697197608794,3.284761663700708,0.0,91.21673861542571,-3.284761663700708,-3.284761663700708,0.9121673861542571,10.769719760879394,1.0405257393209189
2007,94.55076474,1845,101.04052573932091,113.03173174009011,2.0420851330975376,0.0,89.39129232458167,-2.0420851330975376,-2.0420851330975376,0.8939129232458167,13.031731740090112,1.0405257393209189
2008,98.06317731,1936,106.02409638554218,117.23068323947234,3.714843110638588,4.932249322493232,90.44056850625194,1.2174062118546436,1.2174062118546436,0.9044056850625193,17.230683239472345,6.024096385542177
2009,99.01621705,2032,111.2814895947426,118.37000487822955,0.9718630031609221,4.958677685950419,94.0115612136883,3.986814682789497,3.986814682789497,0.940115612136883,18.37000487822955,11.281489594742599
2010,100.0,2032,111.2814895947426,119.5460788190449,0.9935573982827739,0.0,93.0866915034392,-0.9935573982827739,-0.9935573982827739,0.930866915034392,19.546078819044887,11.281489594742599
2011,100.9069249,2234,122.34392113910187,120.63027197482843,0.9069249000000168,9.940944881889768,101.42057970708301,9.034019981889752,9.034019981889752,1.01420579707083,20.63027197482843,22.343921139101862
2012,102.2057205,2337,127.98466593647318,122.18293118650271,1.287122366762361,4.610564010743068,104.74840036462587,3.323441643980707,3.323441643980707,1.0474840036462587,22.18293118650272,27.984665936473174
2013,104.1278572,2337,127.98466593647318,124.4807702408945,1.8806547134511797,0.0,102.81480881649267,-1.8806547134511797,-1.8806547134511797,1.0281480881649268,24.4807702408945,27.984665936473174
2014,104.5884252,2454,134.3921139101862,125.03136122518981,0.442310071852714,5.006418485237485,107.48672380534757,4.564108413384771,4.564108413384771,1.0748672380534756,25.03136122518981,34.3921139101862
2015,106.2178157,2570,140.74479737130338,126.97923367658983,1.5579070981173837,4.726976365118185,110.84079915758021,3.1690692670008014,3.1690692670008014,1.108407991575802,26.979233676589832,40.744797371303385
2016,107.9548075,2570,140.74479737130338,129.0557392628982,1.635311165601383,0.0,109.05737177995123,-1.635311165601383,-1.635311165601383,1.0905737177995123,29.05573926289817,40.744797371303385
2017,108.7695027,2570,140.74479737130338,130.02967542882516,0.75466319552282,0.0,108.2405204097763,-0.75466319552282,-0.75466319552282,1.082405204097763,30.029675428825154,40.744797371303385
2018,110.731614,2570,140.74479737130338,132.37530255004054,1.8039167701370706,0.0,106.32255009811895,-1.8039167701370706,-1.8039167701370706,1.0632255009811895,32.37530255004053,40.744797371303385
2019,111.0675582,2699,147.80941949616647,132.77691066816055,0.30338598695038854,5.019455252918292,111.32162870212845,4.716069265967904,4.716069265967904,1.1132162870212845,32.77691066816055,47.809419496166484
2020,111.8516604,2829,154.92880613362541,133.7142741021944,0.7059687029294937,4.816598740274181,115.8655702047317,4.110630037344687,4.110630037344687,1.158655702047317,33.71427410219441,54.92880613362541
2021,113.4197746,2829,154.92880613362541,135.58889313969905,1.4019588036441766,0.0,114.26364102994793,-1.4019588036441766,-1.4019588036441766,1.1426364102994793,35.58889313969904,54.92880613362541
2022,120.9701767,2970,162.65060240963857,144.61510278531986,6.657042060459184,4.984093319194072,112.47138042773601,-1.6729487412651123,-1.6729487412651123,1.1247138042773601,44.61510278531986,62.65060240963856
2023,128.3386413,3111,170.37239868565172,153.4238132837893,6.091141470573724,4.747474747474745,111.04690663014122,-1.3436667230989796,-1.3436667230989796,1.1104690663014123,53.423813283789286,70.3723986856517
2024,129.6031063,3111,170.37239868565172,154.93543160932853,0.9852566516145522,0.0,109.96348408880911,-0.9852566516145522,-0.9852566516145522,1.0996348408880912,54.935431609328546,70.3723986856517
